"Collection_id","NomorBarcode","Title","Subject"
"277535","288122212","Digital Forensics, Investigation, and Response / Chuck Easttom","COMPUTER CRIMES - INVESTIGATION"
"108993","0802111711","Merajut makna : Penelitian kualitatif bidang perpustakaan dan informasi / Ambar Yoganingrum","penelitian bidang perpustakaan"
"223929","0122111711","Metodologi penelitian kualitatif / Lexy J. Moleong","RESEARCH - METHODOLOGY"
"272067","002622111","TOEFL :  Self Preparation Course : Smart Way to Reach the Highest Score / Haira Rizka; Miftahul Furqon; Niswatin Nurul Hidayati","ENGLISH LANGUAGE TEXT BOOKS FOREIGN SPEAKERTEST"
"287015","216424112","ELPT Airlangga University :  English Language Proficiency Test for ELPT Test / Amir Fatah","ENGLISH LANGUAGE"
"239685","090019211","Simple English Grammar :  Pintar Kuasai Tata Bahasa Inggris / Suratman Dahlan & Iswan A. Thais, Editor Ignas","ENGLISH LANGUAGE - GRAMMAR"
"266341","123820211","Jangan Membuat Masalah Kecil Jadi Masalah Besar :  Cara Mudah Mencegah Masalah Kecil Mengganggu Hidup Kita / Richard Carlson; penerjemah : Siti Gretiani","BEHAVIOR MODIFICATION"
"266182","109420211","Pengantar Akuntansi :  Metode akuntansi untuk elemen laporan keuangan diperkaya dengan perspektif IFRS & perbankan  Buku 2 / L,M,Samryn","ACCOUNTING"
"268509","058621211","Perempuan di titik nol / Nawal el-Saadawi,","ARABIC LITERATURE"
"272979","053522111","Madilog materialisme dialektika logika / Tan Malaka","POLITICAL PHILOSOPHER AND SCIENTIST"
"5362","021312112","Elementary Statistics : From Discory to Decision ","STATISTICS"
"140835","082707212","Culture and identity : Life stories for counselors and therapists / Anita Jones Thomas","THERAPISTS - BIOGRAPHY - USA"
"57048","191488212","Asuransi dan hukum asuransi di Indonesia / Sri Rejeki Hartono","ASURANSI"
"275764","171622111","Hukum asuransi Indonesia / Djoko Prakoso; I Ketut Murtika","HUKUM ASURANSI"
"76865","728711211","Manajemen resiko ","RISK MANAGEMENT"
"67010","036398211","Mengenal asuransi angkutan darat dan udara ","ASURANSI PERJALANAN"
"270353","188121211","Membuat Laporan Keuangan Perusahaan Dagang Menggunakan MYOB Accounting 18 / Endra Saputra","FINANCIAL STATEMENT"
"242267","173219211","Cara mudah menyusun laporan keuangan perusahaan jasa / Rahmat Hidayat Lubis","FINANCIAL REPORTING"
"273252","070322111","Sistem Akuntansi Sektor Publik / Indra Bastian","ACCOUNTING"
"73731","287911211","Akuntansi Sektor Publik Edisi 2 ","ACCOUNTING"
"22320","115996112","Writing reaction mechanism in organic chemistry ","Chemistry-organic"
"10606","121912211","Kalkulus. Jilid 2","CALCULUS"
"10611","122012211","Kalkulus. Jilid I","CALCULUS"
"211020","0531162211","Ayah / Andrea Hirata","FIKSI INDONESIA"
"293433","0317251211","Imprisonment / Akiyoshi Rikako","FIKSIJEPANG"
"52602","154598112","The brothers karamazov ","CERITA PENDEK"
"231306","225517111","Perpajakan Indonesia: Pembahasan Sesuai Dengan Ketentuan perundang-Undangan Perpajakan dan Aturan Pelaksanaan Perpajakan Terbaru / Waluyo","TAXATION-INDONESIA"
"60162","099006211","Kenalilah Anak Remaja Anda ","ADOLESCENT-PSYCHOLOGY"
"224740","149318211","Buku Ajar Keperawatan Medikal Bedah: Gangguan Neurologi :  (Medical-Surgical Nursing: Critical Thinking in Patient Care) edisi 5 / Priscilla LeMone; Karen M. Burke; Gerene Bauldoff; alih bahasa: Wuri Praptiani; Dwi Widiarti; Nike Budhi Subekti","NERVOUS SYSTEM-DISEASES"
"277210","267022211","Keperawatan Medikal Bedal Persarafan / Catur Budi Susilo","NEUROLOGICAL NURSING"
"75848","583411211","Akuntansi Sektor Publik Edisi 2 ","ACCOUNTING"
"75849","583511211","Akuntansi Sektor Publik Edisi 2 ","ACCOUNTING"
"210175","0519142211","Samin : mistisisme petani di tengah pergolakan / Anis Sholeh Ba'asyin","Mysticism"
"215313","0454082211","Landreform dan gerakan protes petani Klaten 1959-1965 / Soegijanto Padmo","PEMILIKAN TANAH"
"281500","153823211","Perbesar Otakmu! :  Ubah Mindset Anda agar Segala Urusan Hidup Menjadi Lebih Ringan / Khalid Bin Shalih Al-Munif; Penerjemah: Abdul Halim; Editor: Hani Supriyanti","SELF - ACTUALIZATION (PSYCHOLOGY)"
"53317","163898112","Animal farm ","HUMOR"
"225861","046817211","Gadis Pantai / Pramoedya Ananta Toer","ROMANCE FICTION"
"112840","1598111711","Rahasia sukses membangkitkan ESQ power sebuah inner journey melalui al-ihsan / Ary Ginanjar Agustian","PSYCHOLOGY, RELIGIOUS"
"80033","178214111","Tes Prestasi : Fungsi Dan Pengembangan Pengukuran Prestasi Belajar. ","DEVELOPMENTAL PSYCHOLOGY"
"9718","220311211","Higiene perusahaan dan kesehatan kerja (HIPERKES)","INDUSTRIAL HYGIENE"
"46728","924589211","Manajemen keselamatan dan kesehatan kerja ","KESELAMATAN KERJA - MANAJEMEN"
"281845","01482316111","Manajemen Kesehatan Ikan / Junius Akbar","KESEHATAN IKAN"
"287131","00222416211","Mikrbiologi Akuatik / Editor Dwi Retna Kumalaningrum","MIKROBIOLOGI -- AIR-MIKROBIOLOGI"
"284618","087724211","Notaris Dan Kontrak Terkait Pembiayaan Berbasis Kekayaan Intelektual / Ranti Fauza Mayana; Tisni Santika; Zahra Cintana","INTELLECTUAL PROPERTY"
"266475","133020211","Hak kekayaan intelektual dan investasi :  Kajian HKI dalam dunia investasi termasuk pada UMKM / Endang Purwaningsih","INTELECTUAL PROPERTY"
"149600","082417211","Hukum Hak Kekayaan Intelektual / Khoirul Hidayah","INTELECTUAL PROPERTY"
"74792","418811211","Perkembangan hukum intellectual property rights : Kajian hukum terhadap hak atas kekayaan intelektual dan kajian komparatif hukum paten ","INTELLECTUAL PROPERTY"
"283244","025824111","Penataan Transportasi Publik-Privat dan Pengembangan Aksesibilitas Masyarakat / S Aminah","TRANSPORTATION"
"145919","027116211","Manajemen Transportasi / M.N. Nasution","BUSINESS TRAVEL - MANAGEMENT"
"283449","0526241211","Perkotaan, Masalah Sosial dan Perburuhan di Jawa Masa Kolonial / John Ingleson","SEJARAH INDONESIA"
"248861","358219111","Rahasia Salinem / Brilliant Yotenega","FICTIONS"
